[16:50:35.472] [main                ] ℹ️ Initial Parameters:
[16:50:38.151] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.152] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.153] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.154] [Producer-4          ] 📊 Posted message: Message-00022
[16:50:38.155] [Producer-4          ] 📊 Produced: Message-00022 to topic1
[16:50:38.155] [Consumer-Topic1-2   ] 📊 Consumed message: Message-00022
[16:50:38.157] [Consumer-Topic1-2   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00022
[16:50:38.157] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.158] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.159] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.161] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.200] [Producer-1          ] 📊 Posted message: Message-00023
[16:50:38.201] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00023
[16:50:38.201] [Producer-1          ] 📊 Produced: Message-00023 to topic2
[16:50:38.202] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.202] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00023
[16:50:38.203] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.204] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.205] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.230] [Producer-2          ] 📊 Posted message: Message-00024
[16:50:38.233] [Producer-2          ] 📊 Produced: Message-00024 to topic2
[16:50:38.233] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00024
[16:50:38.245] [Consumer-Topic2-2   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00024
[16:50:38.245] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.247] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.249] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.251] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.651] [Producer-3          ] 📊 Posted message: Message-00025
[16:50:38.653] [Producer-3          ] 📊 Produced: Message-00025 to topic2
[16:50:38.656] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00025
[16:50:38.662] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.662] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00025
[16:50:38.663] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.667] [Producer-4          ] 📊 Posted message: Message-00026
[16:50:38.668] [Producer-4          ] 📊 Produced: Message-00026 to topic2
[16:50:38.672] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00026
[16:50:38.674] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.674] [Consumer-Topic2-2   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00026
[16:50:38.675] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.677] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.678] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.717] [Producer-1          ] 📊 Posted message: Message-00027
[16:50:38.718] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00027
[16:50:38.720] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00027
[16:50:38.721] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.718] [Producer-1          ] 📊 Produced: Message-00027 to topic2
